ADM2 Code;City;ADM1 Code;State;ADM0 Code;Country;Country Code
487;Aghdash;147298;Aran;19;Azerbaijan;AZ
488;Aghdam;147306;Yukhari Garabakh;19;Azerbaijan;AZ
489;Agdjabedi;147298;Aran;19;Azerbaijan;AZ
490;Aghstafa;147300;Ganja-Gazakh;19;Azerbaijan;AZ
491;Aghsu;147299;Daghlig Shirvan;19;Azerbaijan;AZ
492;Shirvan;147298;Aran;19;Azerbaijan;AZ
493;Absheron;147297;Absheron;19;Azerbaijan;AZ
494;Astara;147303;Lankaran;19;Azerbaijan;AZ
495;Baku;147297;Absheron;19;Azerbaijan;AZ
496;Barda;147298;Aran;19;Azerbaijan;AZ
498;Beilagan;147298;Aran;19;Azerbaijan;AZ
499;Balaken;147305;Shaki-Zaqatala;19;Azerbaijan;AZ
500;Bilasuvar;147298;Aran;19;Azerbaijan;AZ
501;Shahbuz;147304;Nakhchivan;19;Azerbaijan;AZ
502;Shamkir;147300;Ganja-Gazakh;19;Azerbaijan;AZ
503;Sheki;147305;Shaki-Zaqatala;19;Azerbaijan;AZ
504;Shamakhi;147299;Daghlig Shirvan;19;Azerbaijan;AZ
506;Dashkesan;147300;Ganja-Gazakh;19;Azerbaijan;AZ
507;Shabran;147301;Guba-Khachmaz;19;Azerbaijan;AZ
508;Jalilabad;147303;Lankaran;19;Azerbaijan;AZ
509;Jebrail;147306;Yukhari Garabakh;19;Azerbaijan;AZ
513;Fuzuli;147306;Yukhari Garabakh;19;Azerbaijan;AZ
514;Gabala;147305;Shaki-Zaqatala;19;Azerbaijan;AZ
515;Gakh;147305;Shaki-Zaqatala;19;Azerbaijan;AZ
516;Ganja;147300;Ganja-Gazakh;19;Azerbaijan;AZ
517;Goychay;147298;Aran;19;Azerbaijan;AZ
519;Gobustan;147299;Daghlig Shirvan;19;Azerbaijan;AZ
520;Gusar;147301;Guba-Khachmaz;19;Azerbaijan;AZ
521;Imishli;147298;Aran;19;Azerbaijan;AZ
522;Ismailli;147299;Daghlig Shirvan;19;Azerbaijan;AZ
523;Gazakh;147300;Ganja-Gazakh;19;Azerbaijan;AZ
524;Gadabey;147300;Ganja-Gazakh;19;Azerbaijan;AZ
526;Hajigabul;147298;Aran;19;Azerbaijan;AZ
527;Goygol;147300;Ganja-Gazakh;19;Azerbaijan;AZ
528;Khachmaz;147301;Guba-Khachmaz;19;Azerbaijan;AZ
529;Khizi;147297;Absheron;19;Azerbaijan;AZ
530;Guba;147301;Guba-Khachmaz;19;Azerbaijan;AZ
531;Gubadli;147302;Kalbajar-Lachin;19;Azerbaijan;AZ
532;Kyurdamir;147298;Aran;19;Azerbaijan;AZ
534;Administrative unit not available;147307;Administrative unit not available;19;Azerbaijan;AZ
535;Lachin;147302;Kalbajar-Lachin;19;Azerbaijan;AZ
536;Lenkeran;147303;Lankaran;19;Azerbaijan;AZ
537;Lerik;147303;Lankaran;19;Azerbaijan;AZ
538;Masalli;147303;Lankaran;19;Azerbaijan;AZ
539;Mingechevir;147298;Aran;19;Azerbaijan;AZ
540;Naftalan;147300;Ganja-Gazakh;19;Azerbaijan;AZ
541;Nakhchivan;147304;Nakhchivan;19;Azerbaijan;AZ
542;Neftchala;147298;Aran;19;Azerbaijan;AZ
543;Oghuz;147305;Shaki-Zaqatala;19;Azerbaijan;AZ
546;Saatli;147298;Aran;19;Azerbaijan;AZ
547;Sabirabad;147298;Aran;19;Azerbaijan;AZ
548;Salyan;147298;Aran;19;Azerbaijan;AZ
550;Sederek;147304;Nakhchivan;19;Azerbaijan;AZ
551;Siazan;147301;Guba-Khachmaz;19;Azerbaijan;AZ
552;Sumgayit;147297;Absheron;19;Azerbaijan;AZ
554;Tovuz;147300;Ganja-Gazakh;19;Azerbaijan;AZ
555;Ujar;147298;Aran;19;Azerbaijan;AZ
556;Yardimli;147303;Lankaran;19;Azerbaijan;AZ
558;Zagatala;147305;Shaki-Zaqatala;19;Azerbaijan;AZ
559;Zangilan;147302;Kalbajar-Lachin;19;Azerbaijan;AZ
560;Zardab;147298;Aran;19;Azerbaijan;AZ
1379;Bakel;1377;Tambacounda;217;Senegal;SN
1380;Birkilane;1378;Kaffrine;217;Senegal;SN
1381;Bounkiling;1376;Sedhiou;217;Senegal;SN
1382;Dakar;2636;Dakar;217;Senegal;SN
1383;Gossas;47586;Fatick;217;Senegal;SN
1384;Goudiry;1377;Tambacounda;217;Senegal;SN
1394;Goudomp;1376;Sedhiou;217;Senegal;SN
1395;Guinguineo;1373;Kaolack;217;Senegal;SN
1396;Kaffrine;1378;Kaffrine;217;Senegal;SN
1397;Kedougou;1374;Kedougou;217;Senegal;SN
1408;Kolda;1375;Kolda;217;Senegal;SN
1486;Koungueul;1378;Kaffrine;217;Senegal;SN
1488;Koupentoum;1377;Tambacounda;217;Senegal;SN
1497;Maleme hodar;1378;Kaffrine;217;Senegal;SN
1499;Medina yoro foula;1375;Kolda;217;Senegal;SN
1510;Salemata;1374;Kedougou;217;Senegal;SN
1538;Saraya;1374;Kedougou;217;Senegal;SN
1609;Sedhiou;1376;Sedhiou;217;Senegal;SN
1649;Tambacounda;1377;Tambacounda;217;Senegal;SN
3448;Eshkmesh;272;Badakhshan;1;Afghanistan;AF
3452;Koran wa Monjan;272;Badakhshan;1;Afghanistan;AF
3454;Shahr-e-Buzorg;272;Badakhshan;1;Afghanistan;AF
3455;Shighnan;272;Badakhshan;1;Afghanistan;AF
3456;Wakhan;272;Badakhshan;1;Afghanistan;AF
3457;Zebak;272;Badakhshan;1;Afghanistan;AF
3459;Ghormach;273;Badghis;1;Afghanistan;AF
3460;Jawand;273;Badghis;1;Afghanistan;AF
3462;Balamurghab;273;Badghis;1;Afghanistan;AF
3468;Burka;274;Baghlan;1;Afghanistan;AF
3469;Dahana-e-Ghori;274;Baghlan;1;Afghanistan;AF
3470;Doshi;274;Baghlan;1;Afghanistan;AF
3472;Khenjan;274;Baghlan;1;Afghanistan;AF
3475;Pul-e- khumri;274;Baghlan;1;Afghanistan;AF
3476;Tala Wa barfak;274;Baghlan;1;Afghanistan;AF
3477;Balkh;275;Balkh;1;Afghanistan;AF
3478;Charbulak;275;Balkh;1;Afghanistan;AF
3479;Charkent;275;Balkh;1;Afghanistan;AF
3480;Chemtal;275;Balkh;1;Afghanistan;AF
3481;Dawlatabad;275;Balkh;1;Afghanistan;AF
3482;Dehdadi;275;Balkh;1;Afghanistan;AF
3486;Marmul;275;Balkh;1;Afghanistan;AF
3487;Mazar-e-Sharif;275;Balkh;1;Afghanistan;AF
3488;Nahr-e- Shahi;275;Balkh;1;Afghanistan;AF
3489;Sholgareh;275;Balkh;1;Afghanistan;AF
3490;Shortepa;275;Balkh;1;Afghanistan;AF
3491;Bamyan;276;Bamyan;1;Afghanistan;AF
3493;Shibar;276;Bamyan;1;Afghanistan;AF
3495;Yakawlang;276;Bamyan;1;Afghanistan;AF
3496;Anardara;277;Farah;1;Afghanistan;AF
3497;Bakwa;277;Farah;1;Afghanistan;AF
3498;Balabuluk;277;Farah;1;Afghanistan;AF
3499;Farah;277;Farah;1;Afghanistan;AF
3500;Gulestan;277;Farah;1;Afghanistan;AF
3501;Khak-e-Safed;277;Farah;1;Afghanistan;AF
3502;Lash-e-Juwayn;277;Farah;1;Afghanistan;AF
3503;Purchaman;277;Farah;1;Afghanistan;AF
3504;Pushtrod;277;Farah;1;Afghanistan;AF
3505;Qala-e-Kah;277;Farah;1;Afghanistan;AF
3506;Shibkoh;277;Farah;1;Afghanistan;AF
3507;Almar;278;Faryab;1;Afghanistan;AF
3508;Qorghan;278;Faryab;1;Afghanistan;AF
3510;Dawlatabad;278;Faryab;1;Afghanistan;AF
3511;Khan-e-Char Bagh;278;Faryab;1;Afghanistan;AF
3513;Kohestan;278;Faryab;1;Afghanistan;AF
3517;Qaysar;278;Faryab;1;Afghanistan;AF
3518;Shirintagab;278;Faryab;1;Afghanistan;AF
3519;Abband;279;Ghazni;1;Afghanistan;AF
3520;Ajrestan;279;Ghazni;1;Afghanistan;AF
3521;Andar;279;Ghazni;1;Afghanistan;AF
3523;Dehyak;279;Ghazni;1;Afghanistan;AF
3524;Gelan;279;Ghazni;1;Afghanistan;AF
3525;Ghazni;279;Ghazni;1;Afghanistan;AF
3526;Giro;279;Ghazni;1;Afghanistan;AF
3528;Jaghuri;279;Ghazni;1;Afghanistan;AF
3529;Malestan;279;Ghazni;1;Afghanistan;AF
3530;Muqur;279;Ghazni;1;Afghanistan;AF
3532;Nawur;279;Ghazni;1;Afghanistan;AF
3533;Qarabagh;279;Ghazni;1;Afghanistan;AF
3534;Zanakhan;279;Ghazni;1;Afghanistan;AF
3536;Lal Wa Sarjangal;280;Ghor;1;Afghanistan;AF
3537;Pasaband;280;Ghor;1;Afghanistan;AF
3538;Saghar;280;Ghor;1;Afghanistan;AF
3540;Taywarah;280;Ghor;1;Afghanistan;AF
3541;Tolak;280;Ghor;1;Afghanistan;AF
3542;Baghran;281;Hilmand;1;Afghanistan;AF
3543;Deh-e-shu;281;Hilmand;1;Afghanistan;AF
3544;Garmser;281;Hilmand;1;Afghanistan;AF
3545;Kajaki;281;Hilmand;1;Afghanistan;AF
3546;Lashkargah;281;Hilmand;1;Afghanistan;AF
3547;Musaqalah;281;Hilmand;1;Afghanistan;AF
3548;Nad-e-Ali;281;Hilmand;1;Afghanistan;AF
3549;Nahr-e-Saraj;281;Hilmand;1;Afghanistan;AF
3550;Nawzad;281;Hilmand;1;Afghanistan;AF
3551;Nawa-e-Barakzaiy;281;Hilmand;1;Afghanistan;AF
3552;Reg;281;Hilmand;1;Afghanistan;AF
3553;Sangin;281;Hilmand;1;Afghanistan;AF
3554;Washer;281;Hilmand;1;Afghanistan;AF
3556;Chisht-e-Sharif;282;Hirat;1;Afghanistan;AF
3557;Farsi;282;Hirat;1;Afghanistan;AF
3559;Gulran;282;Hirat;1;Afghanistan;AF
3561;Herat;282;Hirat;1;Afghanistan;AF
3562;Injil;282;Hirat;1;Afghanistan;AF
3563;Karukh;282;Hirat;1;Afghanistan;AF
3565;Kushk;282;Hirat;1;Afghanistan;AF
3567;Obe;282;Hirat;1;Afghanistan;AF
3568;Pashtunzarghun;282;Hirat;1;Afghanistan;AF
3569;Shindand;282;Hirat;1;Afghanistan;AF
3570;Zindajan;282;Hirat;1;Afghanistan;AF
3574;Khamyab;283;Jawzjan;1;Afghanistan;AF
3575;Khwajadukoh;283;Jawzjan;1;Afghanistan;AF
3576;Mardyan;283;Jawzjan;1;Afghanistan;AF
3577;Mingajik;283;Jawzjan;1;Afghanistan;AF
3578;Qarqin;283;Jawzjan;1;Afghanistan;AF
3579;Shiberghan;283;Jawzjan;1;Afghanistan;AF
3580;Bagrami;284;Kabul;1;Afghanistan;AF
3581;Chaharasyab;284;Kabul;1;Afghanistan;AF
3582;Dehsabz;284;Kabul;1;Afghanistan;AF
3583;Farza;284;Kabul;1;Afghanistan;AF
3584;Estalef;284;Kabul;1;Afghanistan;AF
3585;Kabul;284;Kabul;1;Afghanistan;AF
3586;Kalakan;284;Kabul;1;Afghanistan;AF
3587;Khak-e- Jabbar;284;Kabul;1;Afghanistan;AF
3588;Mirbachakot;284;Kabul;1;Afghanistan;AF
3589;Musayi;284;Kabul;1;Afghanistan;AF
3590;Paghman;284;Kabul;1;Afghanistan;AF
3591;Qarabagh;284;Kabul;1;Afghanistan;AF
3593;Surobi;284;Kabul;1;Afghanistan;AF
3594;Arghandab;285;Kandahar;1;Afghanistan;AF
3595;Arghestan;285;Kandahar;1;Afghanistan;AF
3596;Daman;285;Kandahar;1;Afghanistan;AF
3597;Ghorak;285;Kandahar;1;Afghanistan;AF
3598;Kandahar;285;Kandahar;1;Afghanistan;AF
3599;Khakrez;285;Kandahar;1;Afghanistan;AF
3600;Maruf;285;Kandahar;1;Afghanistan;AF
3601;Maywand;285;Kandahar;1;Afghanistan;AF
3603;Reg;285;Kandahar;1;Afghanistan;AF
3605;Shorabak;285;Kandahar;1;Afghanistan;AF
3606;Spinboldak;285;Kandahar;1;Afghanistan;AF
3607;Alasay;286;Kapisa;1;Afghanistan;AF
3608;Kohband;286;Kapisa;1;Afghanistan;AF
3610;Mahmud-e- Raqi;286;Kapisa;1;Afghanistan;AF
3611;Nejrab;286;Kapisa;1;Afghanistan;AF
3612;Tagab;286;Kapisa;1;Afghanistan;AF
3613;Bak;287;Khost;1;Afghanistan;AF
3614;Gurbuz;287;Khost;1;Afghanistan;AF
3615;Jajimaydan;287;Khost;1;Afghanistan;AF
3616;Khost(Matun);287;Khost;1;Afghanistan;AF
3617;Mandozayi;287;Khost;1;Afghanistan;AF
3619;Nadirshahkot;287;Khost;1;Afghanistan;AF
3620;Qalandar;287;Khost;1;Afghanistan;AF
3621;Sabari;287;Khost;1;Afghanistan;AF
3622;Spera;287;Khost;1;Afghanistan;AF
3623;Tani;287;Khost;1;Afghanistan;AF
3624;Terezayi;287;Khost;1;Afghanistan;AF
3627;Chapadara;288;Kunar;1;Afghanistan;AF
3628;Chawkay;288;Kunar;1;Afghanistan;AF
3629;Dangam;288;Kunar;1;Afghanistan;AF
3630;Khaskunar;288;Kunar;1;Afghanistan;AF
3631;Marawara;288;Kunar;1;Afghanistan;AF
